ColorName,NumOfColors,Type,CritVal,ColorNum,ColorLetter,R,G,B,SchemeType
,,,,4,G,53,121,197,
Cat2,3,qual,,1,D,255,156,117,
,,,,2,E,182,68,137,
,,,,3,F,156,217,197,
Cat2,2,qual,,1,H,255,156,117,
,,,,2,E,182,68,137,
Cat1,12,qual,,1,A,27,60,142,Qualitative
,,,,2,B,242,171,218,
,,,,3,C,217,46,33,
,,,,4,D,255,156,117,
,,,,5,E,182,68,137,
,,,,6,F,156,217,197,
,,,,7,G,53,121,197,
,,,,8,H,248,100,43,
,,,,9,I,135,35,94,
,,,,10,J,79,171,156,
,,,,11,K,129,201,243,
,,,,12,L,53,115,114,
Cat1,6,qual,,1,A,27,60,142,
,,,,2,B,242,171,218,
,,,,3,C,217,46,33,
,,,,4,D,255,156,117,
,,,,5,E,182,68,137,
,,,,6,F,156,217,197,
Cat1,5,qual,,1,D,248,100,43,
,,,,2,E,135,35,94,
,,,,3,F,79,171,156,
,,,,4,G,129,201,243,
,,,,5,H,53,115,114,
Cat1,4,qual,,1,I,135,35,94,
,,,,2,J,79,171,156,
,,,,3,K,129,201,243,
,,,,4,L,53,115,114,
Cat1,3,qual,,1,I,135,35,94,
,,,,2,J,79,171,156,
,,,,3,K,129,201,243,
Cat1,2,qual,,1,F,156,217,197,
,,,,2,H,248,100,43,
Primary,3,seq,,1,A,0,0,0,Sequential
,,,,2,B,240,241,233,
,,,,3,C,255,255,255,
Primary,12,seq,,1,A,15,15,15,
,,,,2,B,42,42,42,
,,,,3,C,64,64,64,
,,,,4,D,84,84,84,
,,,,5,E,105,105,105,
,,,,6,F,125,125,125,
,,,,7,G,144,144,144,
,,,,8,H,166,166,166,
,,,,9,I,186,186,186,
,,,,10,J,207,207,207,
,,,,11,K,227,227,227,
,,,,12,L,247,247,247,
